#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-15T13:47:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53ee0d9a0ceb	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=gliese&HTTPPRM:&&-ref=VIZ53ee0d9a0ceb&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F7.3)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F7.3)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000|_DEJ2000|Name|RAB1950|DEB1950|Sp|Vmag|B-V|trplx|plx|_RA.icrs|_DE.icrs
210.6949|-24.5296|NN 3823 |13 59 59|-24 17.7|M0.5        | 12.15| 1.70|  39.5|  42.0|14 02 46.8|-24 31 47
210.6377|+46.3410|Gl 537  |14 00 32|+46 34.9|dM3  e      |  9.85| 1.48|  89.1|  89.1|14 02 33.0|+46 20 28
210.6377|+46.3410|Gl 537  |14 00 32|+46 34.9|dM3  e      |  9.95|     |  89.1|  89.1|14 02 33.0|+46 20 28
210.7353|+14.9751|NN 3824 |14 00 32|+15 12.9|G5          |  7.12|     |      |  45.0|14 02 56.5|+14 58 30
210.8856|+10.7861|Gl 538  |14 01 05|+11 01.8|G8 V        |  6.30| 0.74|  65.8|  65.8|14 03 32.5|+10 47 10
211.5927|-26.6817|Gl 538.1|14 03 31|-26 26.5|K2 III      |  3.27| 1.12|  50.0|  50.0|14 06 22.3|-26 40 54
211.6712|-36.3701|Gl 539  |14 03 44|-36 07.5|K0- IIIb    |  2.06| 1.01|  58.5|  58.5|14 06 41.1|-36 22 12
212.1113|-74.8499|Gl 539.1|14 03 48|-74 36.9|G1 V        |  6.02| 0.58|  39.3|  49.0|14 08 26.7|-74 51 00
211.7348|+38.6107|NN 3825 |14 04 49|+38 51.7|m           | 14.54| 1.70|  37.4|  37.4|14 06 56.4|+38 36 39
212.5106|-61.5219|Wo 9468 |14 06 27|-61 16.6|G9 V        |  9.68| 0.78|  42.5|  42.5|14 10 02.6|-61 31 19
212.3628|-30.9309|Gl 539.2|14 06 34|-30 41.5|M0          | 11.81| 1.50|  44.5|  44.5|14 09 27.1|-30 55 51
212.5995|+25.0923|Wo 9470 |14 08 07|+25 19.7|F8 IV       |  4.83| 0.53|  40.1|  40.1|14 10 23.9|+25 05 32
212.0906|+75.8522|NN 3826 |14 08 15|+76 05.0|M1          | 11.60|     |  48.3|  48.3|14 08 21.8|+75 51 08
212.9412|-12.6118|NN 3827 |14 09 05|-12 22.5|K1 V        |  7.93| 0.86|   9.1|  43.0|14 11 45.9|-12 36 43
212.0531|+80.5971|Gl 540  |14 09 12|+80 50.4|M1  e       | 10.35| 1.43|  58.2|  58.2|14 08 12.7|+80 35 50
213.0448| -0.5840|NN 3828 |14 09 39|-00 21.2|M3.5        | 12.97| 1.63|  39.7|  39.7|14 12 10.8|-00 35 02
213.0490| -0.5873|NN 3829 |14 09 40|-00 21.4|m+          | 21.00|     |  39.7|  39.7|14 12 11.8|-00 35 14
213.1929|-27.2611|Gl 540.1|14 09 54|-27 01.6|K2 III      |  5.09| 1.15|  46.7|  46.7|14 12 46.3|-27 15 40
213.1886| -3.3201|NN 3830 |14 10 10|-03 04.9|K1          |  7.03| 0.74|      |  51.0|14 12 45.3|-03 19 12
213.2720|-12.0260|Gl 540.2|14 10 26|-11 47.2|dM5.5e      | 13.86| 1.53|      |  86.0|14 13 05.3|-12 01 34
213.3820| -6.9579|Wo 9472 |14 10 53|-06 43.6|dM0         | 10.16| 1.43|      |  52.0|14 13 31.7|-06 57 28
213.5896|-15.3573|NN 3831 |14 11 38|-15 07.3|K4 V        | 10.40| 1.28|      |  40.0|14 14 21.5|-15 21 26
213.5729|-15.3540|NN 3832 |14 11 34|-15 07.1|m           | 13.96| 1.60|      |  40.0|14 14 17.5|-15 21 15
213.4910|+30.2180|NN 3833 |14 11 47|+30 26.9|K4          |  8.04| 1.08|  62.9|  62.9|14 13 57.8|+30 13 05
213.6086|+23.4596|NN 3834 |14 12 09|+23 41.9|m           | 13.50|     |      |  42.0|14 14 26.1|+23 27 35
213.9130|-45.0008|Gl 540.3|14 12 28|-44 46.0|G4 V        |  6.31| 0.60|      |  48.0|14 15 39.1|-45 00 03
213.7456|+10.4115|NN 3835 |14 12 32|+10 38.9|M2          | 12.37| 1.52|      |  43.0|14 14 59.0|+10 24 41
213.8840| +4.6577|GJ 1182 |14 13 04|+04 54.0|m           | 14.30| 1.72|  71.8|  71.8|14 15 32.2|+04 39 28
213.8181|+45.0163|NN 3836 |14 13 23|+45 15.1|M2.5        | 11.60|     |  61.3|  61.3|14 15 16.4|+45 00 59
213.9164|+19.1822|Gl 541  |14 13 23|+19 26.5|K2 III ep   | -0.10| 1.20|  91.2|  91.2|14 15 39.9|+19 10 56
214.0024| -6.0010|Wo 9473 |14 13 23|-05 45.8|F6 III      |  4.08| 0.52|  46.6|  46.6|14 16 00.6|-06 00 04
214.0427|+51.3667|Wo 9474 |14 14 24|+51 35.8|A7 V        |  4.75| 0.20|  46.0|  37.0|14 16 10.2|+51 22 00
214.0509|+51.3766|Wo 9474 |14 14 26|+51 36.4|K1 V        |  8.23| 0.82|  46.0|  37.0|14 16 12.2|+51 22 36
214.0960|+46.0878|NN 3837 |14 14 29|+46 19.0|A0 p        |  4.18| 0.08|  40.8|  40.8|14 16 23.0|+46 05 16
214.2703|+10.5931|NN 3838 |14 14 39|+10 49.5|M2          | 11.52| 1.52|      |  55.0|14 17 04.9|+10 35 35
214.2637|+31.7124|NN 3839 |14 14 55|+31 56.7|m           | 13.10|     |      | 115.0|14 17 03.3|+31 42 45
214.5023| -7.5418|Gl 541.1|14 15 21|-07 18.5|G8 V        |  6.47| 0.73|      |  57.0|14 18 00.6|-07 32 31
214.4964| -0.5256|NN 3840 |14 15 26|-00 17.5|k-m         | 12.76| 1.59|      |  58.0|14 17 59.1|-00 31 32
214.3532|+45.4444|Gl 541.2|14 15 29|+45 40.5|dM0  p      | 10.25| 1.44|      |  52.0|14 17 24.8|+45 26 40
214.7670|-59.3798|Gl 542  |14 15 30|-59 08.3|K3 V        |  6.66| 1.03| 104.9| 104.9|14 19 04.1|-59 22 47
214.7524|-25.8149|Gl 542.1|14 16 10|-25 35.4|F5 V        |  5.87| 0.50|  46.8|  39.0|14 19 00.6|-25 48 54
214.7524|-25.8149|Gl 542.1|14 16 10|-25 35.4|            | 13.30|     |  46.8|  39.0|14 19 00.6|-25 48 54
214.7415| -6.6039|Gl 542.2|14 16 20|-06 22.1|K5          |  9.10| 1.30|  41.8|  41.8|14 18 58.0|-06 36 14
214.7950| -7.3035|Gl 543  |14 16 36|-07 03.8|M3          | 13.40| 1.64|  54.1|  54.1|14 19 10.8|-07 18 13
214.8180|+13.0035|NN 3841 |14 16 51|+13 14.0|dF1         |  5.41| 0.38|  40.4|  40.4|14 19 16.3|+13 00 13
214.8959| -5.1510|Gl 544  |14 17 00|-04 55.2|K1 V        |  7.58| 0.84|  52.6|  52.6|14 19 35.0|-05 09 04
214.8959| -5.1510|Gl 544  |14 17 00|-04 55.2|M4          | 15.10|     |  52.6|  52.6|14 19 35.0|-05 09 04
215.0295| -9.6209|Gl 545  |14 17 29|-09 22.8|M4          | 12.90| 1.59|  91.1|  91.1|14 20 07.1|-09 37 15
215.0198|+39.0497|NN 3842 |14 18 02|+39 16.7|M0:e:       | 12.31| 1.51|      |  49.0|14 20 04.8|+39 02 59
215.3502|-40.3947|Gl 545.1|14 18 20|-40 09.9|K3/4 V      |  9.02| 1.10|  42.4|  47.0|14 21 24.0|-40 23 41
215.3127| -1.1214|NN 3843 |14 18 40|-00 53.1|M3          | 13.15| 1.66|      |  59.0|14 21 15.0|-01 07 17
215.2652|+27.5919|NN 3844 |14 18 51|+27 49.1|m           | 12.62|     |      |  43.0|14 21 03.6|+27 35 31
215.4889|+29.6299|Gl 546  |14 19 48|+29 51.7|K8 V        |  8.55| 1.26|  69.1|  69.1|14 21 57.3|+29 37 48
215.7816|-22.2866|NN 3845 |14 20 19|-22 03.2|m           | 15.00|     |      |  43.0|14 23 07.6|-22 17 12
215.8150| +1.2417|Gl 547  |14 20 42|+01 28.5|G1 V        |  6.27| 0.63|  57.9|  57.9|14 23 15.6|+01 14 30
216.2350| +8.8888|NN 3846 |14 22 27|+09 06.7|m           | 12.26| 1.63|      |  66.0|14 24 56.4|+08 53 20
216.3803|-20.2628|NN 3847 |14 22 45|-20 02.4|m           | 14.70|     |      |  42.0|14 25 31.3|-20 15 46
216.4306|+23.6163|Gl 548  |14 23 24|+23 51.4|dM1         |  9.75| 1.44|  63.7|  63.7|14 25 43.3|+23 36 59
216.4431|+23.6197|Gl 548  |14 23 27|+23 51.6|dM2         | 10.00| 1.46|  63.7|  63.7|14 25 46.3|+23 37 11
216.3007|+51.8512|Gl 549  |14 23 30|+52 04.9|F7 V        |  4.06| 0.50|  70.0|  81.0|14 25 12.2|+51 51 04
216.2968|+51.8312|Gl 549  |14 23 29|+52 03.7|M3          | 11.50| 1.50|  70.0|  81.0|14 25 11.2|+51 49 52
216.8860|-51.9334|Gl 550  |14 24 10|-51 42.6|G5 V        |  7.83| 0.70|  56.6|  30.0|14 27 32.6|-51 56 00
216.7507|+23.7979|NN 3848 |14 24 44|+24 01.3|DC8         | 15.41|     |      |  58.0|14 27 00.2|+23 47 52
216.9818| -0.3753|GJ 1183 |14 25 23|-00 09.2|m           | 13.95| 1.65|  61.8|  61.8|14 27 55.6|-00 22 31
216.9859| -0.3736|GJ 1183 |14 25 24|-00 09.1|m           | 14.03| 1.68|  61.8|  61.8|14 27 56.6|-00 22 25
218.0631|-81.3440|GJ 2108 |14 25 24|-81 07.0|DA6         | 13.75| 0.25|      |  44.0|14 32 15.2|-81 20 38
216.9386|+23.8412|Gl 550.1|14 25 31|+24 03.8|dM0         | 10.92| 1.26|  50.2|  25.0|14 27 45.3|+23 50 28
217.0491| -2.2282|Gl 550.2|14 25 37|-02 00.3|G2 IV       |  4.83| 0.72|  44.6|  44.6|14 28 11.8|-02 13 41
217.0491| -2.2282|Gl 550.2|14 25 37|-02 00.3|G4 V        |  9.00|     |  44.6|  44.6|14 28 11.8|-02 13 41
217.3275|-46.4633|Gl 550.3|14 26 03|-46 14.3|K5          | 10.35| 1.44|  46.1|  48.0|14 29 18.6|-46 27 48
217.4303|-62.6801|Gl 551  |14 26 19|-62 28.1|dM5  e      | 11.05| 1.83| 771.8| 771.8|14 29 43.3|-62 40 48
217.1793|+33.1775|NN 3849 |14 26 37|+33 24.6|dM9         | 19.74|     |  95.0|  95.0|14 28 43.0|+33 10 39
217.2571|+12.1219|NN 3850 |14 26 37|+12 20.6|G5          |  8.38|     |      |  46.0|14 29 01.7|+12 07 19
217.1162|+45.9087|NN 3851 |14 26 40|+46 07.8|M5.5:       | 16.99| 2.22|  45.0|  45.0|14 28 27.9|+45 54 31
217.3743|+15.5333|Gl 552  |14 27 11|+15 44.2|dM2.5       | 10.68| 1.47|  56.9|  56.9|14 29 29.8|+15 32 00
217.7433|-54.1017|Gl 552.1|14 27 30|-53 52.6|k-m         | 11.63| 1.51|  52.5|  61.0|14 30 58.4|-54 06 06
217.4053|+41.7951|NN 3852 |14 27 39|+42 01.2|G5 V        |  6.35| 0.70|  30.1|  59.0|14 29 37.3|+41 47 43
217.4995|+29.5670|NN 3853 |14 27 50|+29 47.7|m           | 14.66|     |      |  50.0|14 29 59.9|+29 34 01
217.6984| -8.6460|Gl 553  |14 28 12|-08 25.3|K7 V        |  9.40| 1.40|  66.1|  66.1|14 30 47.6|-08 38 46
217.7550|-12.2945|Gl 553.1|14 28 20|-12 04.1|M3          | 11.92| 1.57|  83.8|  87.0|14 31 01.2|-12 17 40
217.8326|-15.6394|NN 3854 |14 28 34|-15 24.8|G5 V    J   |  8.38| 0.71|  39.4|  23.0|14 31 19.8|-15 38 22
217.6864|+35.4533|Gl 554  |14 28 42|+35 40.3|dK5         |  8.70| 1.04|  54.8|  44.0|14 30 44.7|+35 27 12
217.6645|+59.7183|NN 3855 |14 29 21|+59 56.2|M6.5        | 17.88|     | 103.3| 103.3|14 30 39.5|+59 43 06
218.0440|+16.0142|NN 3856 |14 29 48|+16 14.1|m           | 13.61|     |      |  67.0|14 32 10.5|+16 00 51
218.0573|+11.3528|GJ 1184 |14 29 48|+11 34.2|K5          |  9.69| 1.21|  41.5|  41.5|14 32 13.8|+11 21 10
218.1260| +5.7777|NN 3857 |14 30 01|+05 59.6|dM0         | 10.64| 1.23|  47.7|  47.7|14 32 30.2|+05 46 40
218.0597|+49.6521|NN 3858 |14 30 32|+49 52.4|m           | 13.26|     |      |  51.0|14 32 14.3|+49 39 08
218.3919| -9.9345|Wo 9486 |14 30 54|-09 42.5|K4          | 10.54| 1.25|  42.7|  29.0|14 33 34.1|-09 56 04
217.3437|+80.8094|NN 3859 |14 31 05|+81 01.9|G5          |  6.91| 0.76|      |  54.0|14 29 22.5|+80 48 34
218.5696|-12.5203|Gl 555  |14 31 35|-12 18.6|M3          | 11.31| 1.64| 159.0| 159.0|14 34 16.7|-12 31 13
218.3704|+52.9079|Gl 556  |14 31 51|+53 07.4|K3 V        |  7.23| 0.99|  69.8|  69.8|14 33 28.9|+52 54 29
218.6695|+29.7454|Gl 557  |14 32 30|+29 57.7|F2 V        |  4.46| 0.36|  64.1|  64.1|14 34 40.7|+29 44 43
218.7411|+33.7470|Gl 558  |14 32 55|+33 57.7|dM0.5       |  9.58| 1.28|  38.8|  38.8|14 34 57.9|+33 44 49
219.4406|-67.9324|Gl 558.1|14 33 32|-67 42.7|F8 V        |  6.04| 0.50|  49.2|  39.0|14 37 45.8|-67 55 57
219.0008| +9.7460|NN 3860 |14 33 33|+09 58.0|K0          |  7.50| 0.99|      |  67.0|14 36 00.2|+09 44 46
219.2216|+58.3480|NN 3861 |14 35 24|+58 34.4|m           | 11.74|     |      |  71.0|14 36 53.2|+58 20 53
219.5567|+18.2985|NN 3862 |14 35 54|+18 30.9|gK2         |  5.91| 1.10|  45.6|  45.6|14 38 13.6|+18 17 55
219.8995|-60.8352|Gl 559  |14 36 11|-60 37.8|G2 V        |  0.01| 0.64| 749.0| 749.0|14 39 35.9|-60 50 07
219.8995|-60.8352|Gl 559  |14 36 11|-60 37.8|K0 V        |  1.34| 0.84| 749.0| 749.0|14 39 35.9|-60 50 07
220.4684|-75.1393|NN 3863 |14 36 37|-74 55.5|G5 V        |  6.73|     |      |  45.0|14 41 52.4|-75 08 21
219.7491|+64.2918|Gl 559.1|14 37 56|+64 30.4|dG0  e      |  7.54| 0.61|  47.5|  26.0|14 38 59.8|+64 17 30
220.6254|-64.9746|Gl 560  |14 38 26|-64 45.5|F0 Vp       |  3.19| 0.24|  54.2|  54.2|14 42 30.1|-64 58 28
220.6254|-64.9746|Gl 560  |14 38 26|-64 45.5|K5 V        |  8.47| 1.15|  54.2|  54.2|14 42 30.1|-64 58 28
220.6394|+19.4770|Wo 9490 |14 40 16|+19 41.5|K5          |  9.74| 1.29|  53.4|  53.4|14 42 33.5|+19 28 37
220.6394|+19.4770|Wo 9490 |14 40 16|+19 41.5|            | 10.00|     |  53.4|  53.4|14 42 33.5|+19 28 37
220.6105|+19.5037|Wo 9490 |14 40 09|+19 43.1|K5          | 10.08| 1.34|  53.4|  53.4|14 42 26.5|+19 30 13
220.7639| -5.6580|Wo 9491 |14 40 25|-05 26.5|F2 III      |  3.88| 0.38|  45.5|  45.5|14 43 03.3|-05 39 29
220.8315|+26.7502|Gl 561  |14 41 09|+26 57.7|dK0         |  9.67| 0.73|  52.6|  52.6|14 43 19.6|+26 45 01
220.5873|+66.0559|Wo 9492 |14 41 28|+66 16.1|M3          | 10.83| 1.55|      |  83.0|14 42 20.9|+66 03 21
221.1462|-22.2538|NN 3864 |14 41 44|-22 02.3|K2/3 V      |  9.32| 1.17|      |  40.0|14 44 35.1|-22 15 14
221.1673|-22.2453|NN 3865 |14 41 49|-22 01.8|k-m         | 16.30|     |      |  40.0|14 44 40.2|-22 14 43
221.3087|+16.9643|Wo 9493 |14 42 54|+17 10.5|K0 III      |  4.60| 0.98|  43.2|  43.2|14 45 14.1|+16 57 52
221.5002|-25.4428|Gl 561.1|14 43 06|-25 13.9|F2 III-IV   |  5.10| 0.34|  47.5|  31.0|14 46 00.0|-25 26 34
221.5045|-25.4441|Gl 561.1|14 43 07|-25 14.0|dF9         |  7.14|     |  47.5|  31.0|14 46 01.1|-25 26 39
221.5967|+16.4963|Gl 562  |14 44 03|+16 43.1|K5 V        |  9.25| 1.27|  65.8|  65.8|14 46 23.2|+16 29 47
221.8537|-17.7050|NN 3866 |14 44 41|-17 29.5|DC9         | 16.48| 0.94|  69.0|  69.0|14 47 24.9|-17 42 18
221.8154| +2.7040|NN 3867 |14 44 45|+02 54.8|G8 V        |  7.78| 0.90|      |  45.0|14 47 15.7|+02 42 14
221.9808| -3.1609|GJ 1185 |14 45 21|-02 57.5|m           | 13.28| 1.63|  50.5|  50.5|14 47 55.4|-03 09 39
222.0039|+38.4669|Gl 563.1|14 46 03|+38 40.6|dM2         |  9.71| 1.32|  19.1|  47.0|14 48 00.9|+38 28 01
222.3881|-26.1062|Gl 563.2|14 46 42|-25 53.8|M3          | 11.66| 1.49|  38.6|  48.0|14 49 33.1|-26 06 22
222.3798|-26.1096|Gl 563.2|14 46 40|-25 54.0|M3          | 12.06| 1.52|  38.6|  48.0|14 49 31.1|-26 06 34
222.5888| +6.8151|Gl 563.3|14 47 55|+07 01.3|K2 V        |  9.08| 0.96|  51.9|  31.0|14 50 21.3|+06 48 54
222.6718|-15.9968|Gl 563.4|14 47 55|-15 47.4|F5 IV-V     |  5.15| 0.41|  48.6|  48.6|14 50 41.2|-15 59 48
222.5678|+23.9112|Gl 564  |14 48 02|+24 07.0|G2 V        |  5.85| 0.56|  69.7|  69.7|14 50 16.3|+23 54 40
222.7178|-16.0416|Gl 564.1|14 48 06|-15 50.1|A3 IV       |  2.75| 0.15|  53.6|  53.6|14 50 52.3|-16 02 30
222.7593| +9.7237|NN 3868 |14 48 37|+09 55.7|dG5         |  7.40| 0.76|      |  43.0|14 51 02.2|+09 43 25
222.7593| +9.7220|NN 3869 |14 48 37|+09 55.6|k           |  8.90|     |      |  43.0|14 51 02.2|+09 43 19
222.9194|-24.3043|Gl 565  |14 48 50|-24 05.6|K5 V        |  7.83| 1.00|  67.3|  67.3|14 51 40.6|-24 18 15
222.8480|+19.1002|Gl 566  |14 49 05|+19 18.4|G8 Ve       |  4.70| 0.73| 149.1| 149.1|14 51 23.5|+19 06 01
222.8480|+19.1002|Gl 566  |14 49 05|+19 18.4|K4 Ve       |  6.97| 1.16| 149.1| 149.1|14 51 23.5|+19 06 01
223.1328| +0.1682|NN 3870 |14 49 58|+00 22.6|M2          | 12.58| 1.58|      |  39.0|14 52 31.9|+00 10 06
223.1189|+12.3927|NN 3871 |14 50 05|+12 36.0|k           | 11.61| 1.52|      |  61.0|14 52 28.5|+12 23 34
223.2981|+28.5076|NN 3872 |14 51 03|+28 42.6|K0 V        |  7.96| 0.86|      |  41.0|14 53 11.5|+28 30 27
223.3470|+19.1530|Gl 567  |14 51 07|+19 21.2|K2 V        |  6.02| 0.84|  86.9|  86.9|14 53 23.3|+19 09 11
223.4066|+11.5700|GJ 1186 |14 51 13|+11 47.0|m           | 15.29| 1.82|  53.9|  53.9|14 53 37.6|+11 34 12
223.4677|+23.5569|Gl 568  |14 51 41|+23 45.5|M3.5 J      | 12.19| 1.61|  93.9|  93.9|14 53 52.3|+23 33 25
223.4677|+23.5569|Gl 568  |14 51 41|+23 45.5|            | 12.70|     |  93.9|  93.9|14 53 52.3|+23 33 25
223.6232|+16.1011|Gl 569  |14 52 08|+16 18.3|dM0  e      | 10.20| 1.48|  95.6|  95.6|14 54 29.6|+16 06 04
223.6147|+35.5496|NN 3873 |14 52 26|+35 45.8|M3.5        | 12.31|     |      |  86.0|14 54 27.5|+35 32 59
223.7234| +9.9438|NN 3874 |14 52 29|+10 09.1|M0.5        | 11.30| 1.40|      |  42.0|14 54 53.6|+09 56 38
223.7310|+41.1467|NN 3875 |14 53 03|+41 20.8|m           | 14.67|     |      |  41.0|14 54 55.5|+41 08 48
222.5863|+82.5133|NN 3876 |14 53 34|+82 43.2|F9 V        |  5.64| 0.68|  12.2|  65.0|14 50 20.7|+82 30 48
224.1608|-28.1642|NN 3877 |14 53 42|-27 57.1|dM8         | 17.05| 1.34| 161.0| 161.0|14 56 38.6|-28 09 51
223.7975|+53.6801|Gl 569.1|14 53 46|+53 52.5|K1 V        |  7.78| 0.78|  44.9|  39.0|14 55 11.4|+53 40 48
224.1113|+17.9160|NN 3878 |14 54 11|+18 06.6|M5          | 15.50|     |      |  60.0|14 56 26.7|+17 54 58
224.1154|+17.9193|NN 3879 |14 54 12|+18 06.8|M7  :       | 18.60|     |      |  60.0|14 56 27.7|+17 55 10
224.3650|-21.4160|Gl 570  |14 54 32|-21 11.5|K5 Ve       |  5.75| 1.10| 174.2| 174.2|14 57 27.6|-21 24 58
224.3599|-21.4118|Gl 570  |14 54 31|-21 11.3|M2 V        |  8.00| 1.50| 174.2| 174.2|14 57 26.4|-21 24 42
224.2954| -4.3458|Wo 9503 |14 54 34|-04 08.6|F0 V        |  4.49| 0.32|  43.2|  43.2|14 57 10.9|-04 20 45
224.5366|-48.8629|Gl 570.1|14 54 42|-48 39.5|G5 V        |  6.35| 0.71|  49.2|  62.0|14 58 08.8|-48 51 47
224.0945|+49.6280|NN 3880 |14 54 43|+49 49.9|F8 V        |  5.63| 0.50|  25.9|  41.0|14 56 22.7|+49 37 41
224.3876| -0.1671|NN 3881 |14 54 59|+00 02.0|K1 III      |  5.53| 1.13|  39.7|  39.7|14 57 33.0|-00 10 01
224.3347|+14.9827|NN 3882 |14 55 01|+15 10.8|m           | 14.73| 1.68|  40.9|  40.9|14 57 20.3|+14 58 58
224.3855|+31.3956|Gl 570.2|14 55 30|+31 36.7|dM2         | 11.11| 1.33|  66.1|  31.0|14 57 32.5|+31 23 44
224.8825|-44.0941|Gl 571  |14 56 14|-43 53.5|K7 V        | 10.15| 1.31|  56.4|  56.4|14 59 31.8|-44 05 39
224.4719|+56.6555|GJ 1187 |14 56 29|+56 51.8|m           | 15.53| 1.95|  89.4|  89.4|14 57 53.3|+56 39 20
224.5641|+59.5837|NN 3883 |14 57 02|+59 46.9|dK5         | 10.16| 1.38|      |  45.0|14 58 15.4|+59 35 01
225.1833|-11.1356|Gl 571.1|14 58 01|-10 55.9|dM0.5       |  9.48| 1.40|  51.6|  51.6|15 00 44.0|-11 08 08
225.2963| +7.1636|NN 3884 |14 58 45|+07 21.7|M3.5        | 12.73| 1.49|      |  62.0|15 01 11.1|+07 09 49
225.3353| +5.5478|NN 3885 |14 58 51|+05 45.0|M3          | 12.10| 1.45|      |  63.0|15 01 20.5|+05 32 52
225.2324|+45.4260|Gl 572  |14 59 09|+45 37.1|dM0         |  9.13| 1.43|  74.3|  74.3|15 00 55.8|+45 25 34
225.2988|+35.4546|NN 3886 |14 59 11|+35 39.3|M2          | 12.05|     |      |  43.0|15 01 11.7|+35 27 17
225.7664|-46.2940|Gl 574  |14 59 42|-46 05.9|K5 V        |  9.86| 1.20|  56.8|  56.8|15 03 03.9|-46 17 38
225.8524| +3.7832|GJ 1188 |15 00 57|+03 58.1|m           | 12.10| 1.46|  47.0|  27.0|15 03 24.6|+03 46 59
226.2264|-18.5906|NN 3887 |15 02 05|-18 23.7|K4 V        |  9.59| 1.20|      |  41.0|15 04 54.3|-18 35 26
225.9465|+47.6545|Gl 575  |15 02 08|+47 50.9|F9 V n      |  5.19| 0.65|  85.1|  85.1|15 03 47.2|+47 39 16
225.9465|+47.6545|Gl 575  |15 02 08|+47 50.9|dG2         |  5.96|     |  85.1|  85.1|15 03 47.2|+47 39 16
226.2411|-21.1170|NN 3888 |15 02 08|-20 55.2|m           | 14.70|     |      |  49.0|15 04 57.9|-21 07 01
226.0938|+29.4771|Gl 575.1|15 02 15|+29 40.4|k-m         | 12.75| 1.53|  45.3|  45.3|15 04 22.5|+29 28 37
226.2252| +5.6380|Gl 576  |15 02 27|+05 50.3|K5          |  9.82| 1.31|  56.4|  56.4|15 04 54.1|+05 38 17
226.4548| -7.2448|NN 3889 |15 03 10|-07 03.1|DA7         | 15.90| 0.39|  39.1|  39.1|15 05 49.1|-07 14 41
226.0773|+60.3857|NN 3890 |15 03 14|+60 34.6|M2          | 11.00| 1.50|      |  65.0|15 04 18.5|+60 23 09
226.1956|+64.8117|Wo 9510 |15 03 58|+65 00.3|G8          |  9.47| 0.82|  39.4|  39.4|15 04 46.9|+64 48 42
226.4571|+55.0781|NN 3891 |15 04 28|+55 16.1|m           | 13.35|     |      |  54.0|15 05 49.7|+55 04 41
226.4587|+64.0461|Gl 577  |15 04 57|+64 14.2|dG5  e      |  8.42| 0.68|  52.5|  22.0|15 05 50.1|+64 02 46
226.8245|+24.8696|Gl 578  |15 05 06|+25 03.8|F5 V        |  4.93| 0.43|  61.3|  50.0|15 07 17.9|+24 52 11
226.8496|+24.9356|Gl 579  |15 05 16|+25 07.2|K7 V        | 10.09| 1.41|  62.2|  62.2|15 07 23.9|+24 56 08
227.2675|+24.0157|GJ 1189 |15 06 54|+24 12.2|dK8         |  9.31| 1.06|  58.4|  34.0|15 09 04.2|+24 00 57
