#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-08T10:07:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53e4a0d167e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/70A/catalog
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=V/70A&HTTPPRM:&&-ref=VIZ53e4a0d167e0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAB1950&-out=DEB1950&-out=pm&-out=pmPA&-out=RV&-out=Sp&-out=Vmag&-out=B-V&-out=trplx&-out=plx&-out=Mv&-out=OtherName&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/70A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=pm
#-out=pmPA
#-out=RV
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=Mv
#-out=OtherName
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	pm	(F6.3)	? Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Direction angle of proper motion	[ucd=pos.pm;pos.posAng]
#Column	RV	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	Mv	(F5.2)	Absolute visual magnitude	[ucd=phys.magAbs]
#Column	OtherName	(A5)	Other designations	[ucd=meta.id]
#Column	Remarks	(a69)	Additional identifications (LTT, LFT, Wolf, Ross, etc.) and remarks	[ucd=meta.note]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name|RAB1950|DEB1950|pm|pmPA|RV|Sp|Vmag|B-V|trplx|plx|Mv|OtherName|Remarks|_RA.icrs|_DE.icrs
Gl 550.2|14 25 37|-02 00.3| 0.142|267.9| -10.1|G2 IV       |  4.83| 0.72|  44.6|  44.6| 3.08|     |PHI Vir ADS 9273  V(AB) = 4.81 d(m) = 4.15                           |14 28 11.8|-02 13 41
Gl 550.2|14 25 37|-02 00.3| 0.142|267.9|  -8.0|G4 V        |  9.00|     |  44.6|  44.6| 7.20|     |sep 4.8" 110d (1829-1958)                                            |14 28 11.8|-02 13 41
Gl 550.3|14 26 03|-46 14.3| 0.180|196.0|      |K5          | 10.35| 1.44|  46.1|  48.0| 8.76|     |                                                                     |14 29 18.6|-46 27 48
Gl 551  |14 26 19|-62 28.1| 3.809|281.7| -16.0|dM5  e      | 11.05| 1.83| 771.8| 771.8|15.49|     |Proxima Cen                                                          |14 29 43.3|-62 40 48
NN 3849 |14 26 37|+33 24.6| 0.802|206.2| -21.0|dM9         | 19.74|     |  95.0|  95.0|19.63|     |LP 271-25                                                            |14 28 43.0|+33 10 39
NN 3850 |14 26 37|+12 20.6| 0.127|303.9|      |G5          |  8.38|     |      |  46.0| 6.69|     |                                                                     |14 29 01.7|+12 07 19
NN 3851 |14 26 40|+46 07.8| 0.907|275.6| -68.0|M5.5:       | 16.99| 2.22|  45.0|  45.0|15.26|     |LP174-340 USNO 738                                                   |14 28 27.9|+45 54 31
Gl 552  |14 27 11|+15 44.2| 1.711|321.8|   7.5|dM2.5       | 10.68| 1.47|  56.9|  56.9| 9.46|V718 |                                                                     |14 29 29.8|+15 32 00
Gl 552.1|14 27 30|-53 52.6| 0.320|217.0|      |k-m         | 11.63| 1.51|  52.5|  61.0|10.56|     |L 260-093                                                            |14 30 58.4|-54 06 06
NN 3852 |14 27 39|+42 01.2| 0.272|144.9|   0.4|G5 V        |  6.35| 0.70|  30.1|  59.0| 5.20|     |LTT 14271                                                            |14 29 37.3|+41 47 43
NN 3853 |14 27 50|+29 47.7| 0.516|206.3|      |m           | 14.66|     |      |  50.0|13.15|     |                                                                     |14 29 59.9|+29 34 01
Gl 553  |14 28 12|-08 25.3| 1.283|259.9| -26.8|K7 V        |  9.40| 1.40|  66.1|  66.1| 8.50|V719 |                                                                     |14 30 47.6|-08 38 46
Gl 553.1|14 28 20|-12 04.1| 0.538|227.0|      |M3          | 11.92| 1.57|  83.8|  87.0|11.60|     |AC-12:2306-155                                                       |14 31 01.2|-12 17 40
NN 3854 |14 28 34|-15 24.8| 0.430|150.2|  29.2|G5 V    J   |  8.38| 0.71|  39.4|  23.0| 5.19|     |LTT 5735 ADS 9291  V(AB) = 7.99, sep 2.3" 90d d(m) = 0.9   G6 Kui    |14 31 19.8|-15 38 22
Gl 554  |14 28 42|+35 40.3| 0.525|290.7| -12.0|dK5         |  8.70| 1.04|  54.8|  44.0| 6.92|     |                                                                     |14 30 44.7|+35 27 12
NN 3855 |14 29 21|+59 56.2| 0.825|282.4|  21.0|M6.5        | 17.88|     | 103.3| 103.3|17.95|     |LP 98-79                                                             |14 30 39.5|+59 43 06
NN 3856 |14 29 48|+16 14.1| 0.180|108.0|      |m           | 13.61|     |      |  67.0|12.74|     |LP 440-38                                                            |14 32 10.5|+16 00 51
GJ 1184 |14 29 48|+11 34.2| 0.219| 21.3| -39.3|K5          |  9.69| 1.21|  41.5|  41.5| 7.78|V720 |Wo 9485                                                              |14 32 13.8|+11 21 10
NN 3857 |14 30 01|+05 59.6| 0.322|343.0|      |dM0         | 10.64| 1.23|  47.7|  47.7| 9.03|V721 |LTT 14280                                                            |14 32 30.2|+05 46 40
NN 3858 |14 30 32|+49 52.4| 0.595|259.6|      |m           | 13.26|     |      |  51.0|11.80|     |LP 174-355                                                           |14 32 14.3|+49 39 08
Wo 9486 |14 30 54|-09 42.5| 0.561|206.9|      |K4          | 10.54| 1.25|  42.7|  29.0| 7.85|     |LTT 5754 LFT 1117                                                    |14 33 34.1|-09 56 04
NN 3859 |14 31 05|+81 01.9| 0.142|211.4|      |G5          |  6.91| 0.76|      |  54.0| 5.57|     |                                                                     |14 29 22.5|+80 48 34
Gl 555  |14 31 35|-12 18.6| 0.690|330.3|   9.0|M3          | 11.31| 1.64| 159.0| 159.0|12.32|     |                                                                     |14 34 16.7|-12 31 13
Gl 556  |14 31 51|+53 07.4| 0.310|321.7|  11.5|K3 V        |  7.23| 0.99|  69.8|  69.8| 6.45|     |                                                                     |14 33 28.9|+52 54 29
Gl 557  |14 32 30|+29 57.7| 0.227| 55.6|   0.9|F2 V        |  4.46| 0.36|  64.1|  64.1| 3.50|     |SIG Boo                                                              |14 34 40.7|+29 44 43
Gl 558  |14 32 55|+33 57.7| 0.788|287.1| -51.9|dM0.5       |  9.58| 1.28|  38.8|  38.8| 7.52|V313 |                                                                     |14 34 57.9|+33 44 49
Gl 558.1|14 33 32|-67 42.7| 0.448|229.0| -30.0|F8 V        |  6.04| 0.50|  49.2|  39.0| 4.00|     |                                                                     |14 37 45.8|-67 55 57
NN 3860 |14 33 33|+09 58.0| 0.317|141.3| -15.0|K0          |  7.50| 0.99|      |  67.0| 6.63|     |LTT 14312                                                            |14 36 00.2|+09 44 46
NN 3861 |14 35 24|+58 34.4| 0.907|137.0|      |m           | 11.74|     |      |  71.0|11.00|     |LP 98-132                                                            |14 36 53.2|+58 20 53
NN 3862 |14 35 54|+18 30.9| 0.078|202.5| -14.4|gK2         |  5.91| 1.10|  45.6|  45.6| 4.20|     |                                                                     |14 38 13.6|+18 17 55
Gl 559  |14 36 11|-60 37.8| 3.689|281.1| -26.2|G2 V        |  0.01| 0.64| 749.0| 749.0| 4.38|     |ALF Cen                                                              |14 39 35.9|-60 50 07
Gl 559  |14 36 11|-60 37.8| 3.689|281.1| -18.1|K0 V        |  1.34| 0.84| 749.0| 749.0| 5.71|     |                                                                     |14 39 35.9|-60 50 07
NN 3863 |14 36 37|-74 55.5| 0.129|102.6|      |G5 V        |  6.73|     |      |  45.0| 5.00|     |                                                                     |14 41 52.4|-75 08 21
Gl 559.1|14 37 56|+64 30.4| 0.149|255.6| -23.1|dG0  e      |  7.54| 0.61|  47.5|  26.0| 4.61|     |                                                                     |14 38 59.8|+64 17 30
Gl 560  |14 38 26|-64 45.5| 0.300|218.1|   7.2|F0 Vp       |  3.19| 0.24|  54.2|  54.2| 1.86|     |ALF Cir                                                              |14 42 30.1|-64 58 28
Gl 560  |14 38 26|-64 45.5| 0.300|218.1|   7.0|K5 V        |  8.47| 1.15|  54.2|  54.2| 7.14|     |                                                                     |14 42 30.1|-64 58 28
Wo 9490 |14 40 16|+19 41.5| 0.324|235.1| -28.7|K5          |  9.74| 1.29|  53.4|  53.4| 8.38|V155A|ADS 9352 LTT 14351  V(AB) = 9.12 d(m) = 0.28                         |14 42 33.5|+19 28 37
Wo 9490 |14 40 16|+19 41.5| 0.324|235.1|      |            | 10.00|     |  53.4|  53.4| 8.60|V155B|a = 0.624" P = 51.337 yr                                             |14 42 33.5|+19 28 37
Wo 9490 |14 40 09|+19 43.1| 0.298|234.0| -28.0|K5          | 10.08| 1.34|  53.4|  53.4| 8.72|V155C|LTT 14350  sep (AB-C) 135" 309d (NLTT)                               |14 42 26.5|+19 30 13
Wo 9491 |14 40 25|-05 26.5| 0.337|161.9|   4.7|F2 III      |  3.88| 0.38|  45.5|  45.5| 2.17|     |LTT 5845                                                             |14 43 03.3|-05 39 29
Gl 561  |14 41 09|+26 57.7| 0.330|270.0| -77.4|dK0         |  9.67| 0.73|  52.6|  52.6| 8.30|     |                                                                     |14 43 19.6|+26 45 01
Wo 9492 |14 41 28|+66 16.1| 0.332|261.0|      |M3          | 10.83| 1.55|      |  83.0|10.43|V723 |LTT 14363                                                            |14 42 20.9|+66 03 21
NN 3864 |14 41 44|-22 02.3| 0.363|200.9|      |K2/3 V      |  9.32| 1.17|      |  40.0| 7.33|     |LTT 5855                                                             |14 44 35.1|-22 15 14
NN 3865 |14 41 49|-22 01.8| 0.346|198.0|      |k-m         | 16.30|     |      |  40.0|14.30|     |LP 858-23  sep 69" 68d (NLTT)                                        |14 44 40.2|-22 14 43
Wo 9493 |14 42 54|+17 10.5| 0.083|232.3|  -9.0|K0 III      |  4.60| 0.98|  43.2|  43.2| 2.78|     |                                                                     |14 45 14.1|+16 57 52
Gl 561.1|14 43 06|-25 13.9| 0.184|234.1| -19.7|F2 III-IV   |  5.10| 0.34|  47.5|  31.0| 2.56|     |BS 5497 ADS 9375  V(AB) =  4.94  d(m) = 1.98                         |14 46 00.0|-25 26 34
Gl 561.1|14 43 07|-25 14.0| 0.160|238.8| -20.6|dF9         |  7.14|     |  47.5|  31.0| 4.60|     |sep 8.65" (1954)                                                     |14 46 01.1|-25 26 39
Gl 562  |14 44 03|+16 43.1| 0.938|187.4|  44.9|K5 V        |  9.25| 1.27|  65.8|  65.8| 8.34|V722 |                                                                     |14 46 23.2|+16 29 47
NN 3866 |14 44 41|-17 29.5| 1.177|252.6|      |DC9         | 16.48| 0.94|  69.0|  69.0|15.67|W    |LP 801-9                                                             |14 47 24.9|-17 42 18
NN 3867 |14 44 45|+02 54.8| 0.281|256.4|      |G8 V        |  7.78| 0.90|      |  45.0| 6.05|     |LTT 14377                                                            |14 47 15.7|+02 42 14
GJ 1185 |14 45 21|-02 57.5| 0.657|306.4|      |m           | 13.28| 1.63|  50.5|  50.5|11.80|     |                                                                     |14 47 55.4|-03 09 39
Gl 563.1|14 46 03|+38 40.6| 0.176|209.0| -13.5|dM2         |  9.71| 1.32|  19.1|  47.0| 8.07|V884 |                                                                     |14 48 00.9|+38 28 01
Gl 563.2|14 46 42|-25 53.8| 1.217|260.7|  22.0|M3          | 11.66| 1.49|  38.6|  48.0|10.07|     |LTT 5883                                                             |14 49 33.1|-26 06 22
Gl 563.2|14 46 40|-25 54.0| 1.217|260.7|  44.0|M3          | 12.06| 1.52|  38.6|  48.0|10.47|     |LTT 5884                                                             |14 49 31.1|-26 06 34
Gl 563.3|14 47 55|+07 01.3| 0.603|265.3| -31.3|K2 V        |  9.08| 0.96|  51.9|  31.0| 6.54|     |                                                                     |14 50 21.3|+06 48 54
Gl 563.4|14 47 55|-15 47.4| 0.123|235.2| -23.5|F5 IV-V     |  5.15| 0.41|  48.6|  48.6| 3.58|     |                                                                     |14 50 41.2|-15 59 48
Gl 564  |14 48 02|+24 07.0| 0.146| 78.1|  -2.7|G2 V        |  5.85| 0.56|  69.7|  69.7| 5.07|     |                                                                     |14 50 16.3|+23 54 40
Gl 564.1|14 48 06|-15 50.1| 0.129|236.6| -46.7|A3 IV       |  2.75| 0.15|  53.6|  53.6| 1.40|     |                                                                     |14 50 52.3|-16 02 30
NN 3868 |14 48 37|+09 55.7| 0.225|283.4| -35.6|dG5         |  7.40| 0.76|      |  43.0| 5.57|     |LTT 14397                                                            |14 51 02.2|+09 43 25
NN 3869 |14 48 37|+09 55.6| 0.225|283.4|      |k           |  8.90|     |      |  43.0| 7.10|     |LTT 14398 ADS 9410   sep 8" 227d                                     |14 51 02.2|+09 43 19
Gl 565  |14 48 50|-24 05.6| 1.033|245.8| -65.4|K5 V        |  7.83| 1.00|  67.3|  67.3| 6.97|U362 |                                                                     |14 51 40.6|-24 18 15
Gl 566  |14 49 05|+19 18.4| 0.171|127.2|   2.2|G8 Ve       |  4.70| 0.73| 149.1| 149.1| 5.57|     |XI Boo                                                               |14 51 23.5|+19 06 01
Gl 566  |14 49 05|+19 18.4| 0.171|127.2|   3.1|K4 Ve       |  6.97| 1.16| 149.1| 149.1| 7.84|     |                                                                     |14 51 23.5|+19 06 01
NN 3870 |14 49 58|+00 22.6| 0.320|163.0|      |M2          | 12.58| 1.58|      |  39.0|10.50|     |LTT 14407 Wolf 555                                                   |14 52 31.9|+00 10 06
NN 3871 |14 50 05|+12 36.0| 0.233|194.0|      |k           | 11.61| 1.52|      |  61.0|10.50|     |LTT 14408 L 1198-31 LP 501-31                                        |14 52 28.5|+12 23 34
NN 3872 |14 51 03|+28 42.6| 0.120|306.1| -43.7|K0 V        |  7.96| 0.86|      |  41.0| 6.02|     |                                                                     |14 53 11.5|+28 30 27
Gl 567  |14 51 07|+19 21.2| 0.497|295.9| -31.0|K2 V        |  6.02| 0.84|  86.9|  86.9| 5.72|     |                                                                     |14 53 23.3|+19 09 11
GJ 1186 |14 51 13|+11 47.0| 0.733|174.5|      |m           | 15.29| 1.82|  53.9|  53.9|13.95|     |                                                                     |14 53 37.6|+11 34 12
Gl 568  |14 51 41|+23 45.5| 0.692|278.7| -35.7|M3.5 J      | 12.19| 1.61|  93.9|  93.9|12.05|     |Ross 52   V(AB) = 11.66 d(m) = 0.5                                   |14 53 52.3|+23 33 25
Gl 568  |14 51 41|+23 45.5| 0.692|278.7|      |            | 12.70|     |  93.9|  93.9|12.60|     |a = 0.69" P = 34.1 yr Heintz AJ 99, 420 (1990)                       |14 53 52.3|+23 33 25
Gl 569  |14 52 08|+16 18.3| 0.335|108.4|  -8.4|dM0  e      | 10.20| 1.48|  95.6|  95.6|10.10|V157 |CE Boo   comp 5.1" 17.5d                                             |14 54 29.6|+16 06 04
NN 3873 |14 52 26|+35 45.8| 0.838|169.3|      |M3.5        | 12.31|     |      |  86.0|11.98|     |LTT 14424 Ross 1041                                                  |14 54 27.5|+35 32 59
NN 3874 |14 52 29|+10 09.1| 0.514|216.8|      |M0.5        | 11.30| 1.40|      |  42.0| 9.42|     |LTT 14422 L 1198-67 LP 501-40                                        |14 54 53.6|+09 56 38
NN 3875 |14 53 03|+41 20.8| 0.266|301.0|      |m           | 14.67|     |      |  41.0|12.73|     |LP 222-015                                                           |14 54 55.5|+41 08 48
NN 3876 |14 53 34|+82 43.2| 0.284|144.3| -44.0|F9 V        |  5.64| 0.68|  12.2|  65.0| 4.70|     |LTT 14431                                                            |14 50 20.7|+82 30 48
NN 3877 |14 53 42|-27 57.1| 0.965|210.1|      |dM8         | 17.05| 1.34| 161.0| 161.0|18.08|     |LP 914-54  see in Ruiz et al AJ 100, p 1270                          |14 56 38.6|-28 09 51
Gl 569.1|14 53 46|+53 52.5| 1.079|296.1| -14.4|K1 V        |  7.78| 0.78|  44.9|  39.0| 5.74|     |                                                                     |14 55 11.4|+53 40 48
NN 3878 |14 54 11|+18 06.6| 0.993|299.5|   8.0|M5          | 15.50|     |      |  60.0|14.40|     |LP 441-33  Mv: G&L ApJ 305, 784                                      |14 56 26.7|+17 54 58
NN 3879 |14 54 12|+18 06.8| 0.993|299.5|   9.0|M7  :       | 18.60|     |      |  60.0|17.50|     |LP 441-34  sep 9" 48d  Mv: G&L ApJ 305, 784                          |14 56 27.7|+17 55 10
Gl 570  |14 54 32|-21 11.5| 2.025|149.1|  29.1|K5 Ve       |  5.75| 1.10| 174.2| 174.2| 6.96|V726 |                                                                     |14 57 27.6|-21 24 58
Gl 570  |14 54 31|-21 11.3| 1.933|149.7|  27.9|M2 V        |  8.00| 1.50| 174.2| 174.2| 9.21|     |                                                                     |14 57 26.4|-21 24 42
Wo 9503 |14 54 34|-04 08.6| 0.181|212.5|  21.7|F0 V        |  4.49| 0.32|  43.2|  43.2| 2.67|     |                                                                     |14 57 10.9|-04 20 45
Gl 570.1|14 54 42|-48 39.5| 0.336|181.5|  37.3|G5 V        |  6.35| 0.71|  49.2|  62.0| 5.31|     |                                                                     |14 58 08.8|-48 51 47
NN 3880 |14 54 43|+49 49.9| 0.252|154.5| -16.0|F8 V        |  5.63| 0.50|  25.9|  41.0| 3.69|     |LTT 14437 BS 5581                                                    |14 56 22.7|+49 37 41
NN 3881 |14 54 59|+00 02.0| 0.067|115.9|  20.6|K1 III      |  5.53| 1.13|  39.7|  39.7| 3.50|     |BS 5573   comp B: sep 86.3"  d(m) = 2.9                              |14 57 33.0|-00 10 01
NN 3882 |14 55 01|+15 10.8| 0.598|289.6|      |m           | 14.73| 1.68|  40.9|  40.9|12.79|     |USNO 741                                                             |14 57 20.3|+14 58 58
Gl 570.2|14 55 30|+31 36.7| 1.374|211.1|   7.7|dM2         | 11.11| 1.33|  66.1|  31.0| 8.57|V731 |AC+31:32985                                                          |14 57 32.5|+31 23 44
Gl 571  |14 56 14|-43 53.5| 0.370|223.0|  -2.3|K7 V        | 10.15| 1.31|  56.4|  56.4| 8.91|U364 |                                                                     |14 59 31.8|-44 05 39
GJ 1187 |14 56 29|+56 51.8| 0.683|156.7|  10.0|m           | 15.53| 1.95|  89.4|  89.4|15.29|     |                                                                     |14 57 53.3|+56 39 20
NN 3883 |14 57 02|+59 46.9| 0.090|309.0|      |dK5         | 10.16| 1.38|      |  45.0| 8.43|V734 |uncertain comp. sep 30" (Worley)                                     |14 58 15.4|+59 35 01
Gl 571.1|14 58 01|-10 55.9| 0.470|178.9|  14.0|dM0.5       |  9.48| 1.40|  51.6|  51.6| 8.04|V055 |LTT 5983                                                             |15 00 44.0|-11 08 08
NN 3884 |14 58 45|+07 21.7| 0.502|259.6|      |M3.5        | 12.73| 1.49|      |  62.0|11.70|     |LTT 14453 L 1126-79 LP 561-36                                        |15 01 11.1|+07 09 49
NN 3885 |14 58 51|+05 45.0| 0.410|165.1|      |M3          | 12.10| 1.45|      |  63.0|11.10|     |LTT 14454 L 1126-121 LP 561-68  comp B: SpT. K:  optical             |15 01 20.5|+05 32 52
Gl 572  |14 59 09|+45 37.1| 0.394| 36.0| -10.0|dM0         |  9.13| 1.43|  74.3|  74.3| 8.48|V314 |                                                                     |15 00 55.8|+45 25 34
NN 3886 |14 59 11|+35 39.3| 0.322|147.0|      |M2          | 12.05|     |      |  43.0|10.22|     |LTT 14457 Ross 1042                                                  |15 01 11.7|+35 27 17
Gl 574  |14 59 42|-46 05.9| 0.290|271.0| -65.2|K5 V        |  9.86| 1.20|  56.8|  56.8| 8.63|     |                                                                     |15 03 03.9|-46 17 38
GJ 1188 |15 00 57|+03 58.1| 1.136|308.3|-128.0|m           | 12.10| 1.46|  47.0|  27.0| 9.26|     |Ross 1044                                                            |15 03 24.6|+03 46 59
NN 3887 |15 02 05|-18 23.7| 0.191|226.8|      |K4 V        |  9.59| 1.20|      |  41.0| 7.65|U369 |LTT 6010                                                             |15 04 54.3|-18 35 26
Gl 575  |15 02 08|+47 50.9| 0.396|273.8| -29.7|F9 V n      |  5.19| 0.65|  85.1|  85.1| 4.84|     |44 I Boo ADS 9494   V(AB) = 4.76 d(m) = 0.77                         |15 03 47.2|+47 39 16
Gl 575  |15 02 08|+47 50.9| 0.396|273.8|   3.4|dG2         |  5.96|     |  85.1|  85.1| 5.61|     |a = 3.772" P = 225 yr                                                |15 03 47.2|+47 39 16
NN 3888 |15 02 08|-20 55.2| 0.696|250.5|      |m           | 14.70|     |      |  49.0|13.20|     |LP 801-53                                                            |15 04 57.9|-21 07 01
Gl 575.1|15 02 15|+29 40.4| 0.295|125.0|      |k-m         | 12.75| 1.53|  45.3|  45.3|11.03|     |                                                                     |15 04 22.5|+29 28 37
Gl 576  |15 02 27|+05 50.3| 0.746|229.7| -68.0|K5          |  9.82| 1.31|  56.4|  56.4| 8.58|V158 |                                                                     |15 04 54.1|+05 38 17
NN 3889 |15 03 10|-07 03.1| 0.200|266.0|      |DA7         | 15.90| 0.39|  39.1|  39.1|13.86|W190 |GD 175                                                               |15 05 49.1|-07 14 41
NN 3890 |15 03 14|+60 34.6| 0.685|285.8|      |M2          | 11.00| 1.50|      |  65.0|10.06|     |LTT 14486 Ross 1051                                                  |15 04 18.5|+60 23 09
Wo 9510 |15 03 58|+65 00.3| 0.264|265.0| -72.6|G8          |  9.47| 0.82|  39.4|  39.4| 7.40|     |LTT 14491                                                            |15 04 46.9|+64 48 42
NN 3891 |15 04 28|+55 16.1| 0.481|288.1|      |m           | 13.35|     |      |  54.0|12.01|     |LP 135-97                                                            |15 05 49.7|+55 04 41
Gl 577  |15 04 57|+64 14.2| 0.166|309.1|  -6.4|dG5  e      |  8.42| 0.68|  52.5|  22.0| 5.13|     |                                                                     |15 05 50.1|+64 02 46
Gl 578  |15 05 06|+25 03.8| 0.249|132.6|  -9.8|F5 V        |  4.93| 0.43|  61.3|  50.0| 3.42|     |                                                                     |15 07 17.9|+24 52 11
Gl 579  |15 05 16|+25 07.2| 1.003|299.5| -69.6|K7 V        | 10.09| 1.41|  62.2|  62.2| 9.06|V057 |                                                                     |15 07 23.9|+24 56 08
GJ 1189 |15 06 54|+24 12.2| 0.499|288.5| -51.3|dK8         |  9.31| 1.06|  58.4|  34.0| 6.97|V885 |LTT 14505 LFT 1175                                                   |15 09 04.2|+24 00 57
NN 3892 |15 07 07|+03 21.0| 0.735|311.1|      |M3          | 11.46| 1.50|      |  78.0|10.90|     |LTT 14507 Ross 1047                                                  |15 09 36.1|+03 10 02
Gl 579.2|15 07 28|-16 08.5| 3.674|196.1| 294.3|K0 VI       |  9.08| 0.77|  39.9|  39.9| 7.08|     |                                                                     |15 10 12.6|-16 22 47
Gl 579.2|15 07 28|-16 13.5| 3.677|196.0| 308.0|K2 VI       |  9.45| 0.86|  39.9|  39.9| 7.45|     |                                                                     |15 10 12.7|-16 27 48
NN 3893 |15 07 48|+19 33.2| 0.462|179.6|      |m           | 13.35|     |      |  69.0|12.54|     |LTT 14512 L 1271-10 LP 442-10 LHS.                                   |15 10 04.5|+19 21 29
Wo 9512 |15 08 41|-51 54.6| 0.132|235.7| -10.0|G8 III      |  3.41| 0.92|  41.6|  26.0| 0.48|     |                                                                     |15 12 17.4|-52 05 55
Wo 9512 |15 08 33|-51 55.1| 0.123|232.6| -10.5|F9 V        |  6.69| 0.50|  41.6|  26.0| 3.76|     |                                                                     |15 12 09.4|-52 06 26
NN 3894 |15 09 12|-10 02.9| 1.005|257.6|      |M4          | 14.26| 1.66|  68.0|  68.0|13.42|     |                                                                     |15 11 51.3|-10 14 20
NN 3895 |15 09 40|+18 09.0| 0.678|215.5| -58.0|m           | 13.45| 1.51|  42.3|  42.3|11.58|     |LTT 14519 L 1271-41 LP 442-17                                        |15 11 56.3|+17 57 18
Gl 579.3|15 10 14|-00 58.5| 0.375|219.4| -60.1|K0          |  9.29| 0.78|  46.7|  20.0| 5.80|     |                                                                     |15 12 47.9|-01 09 57
NN 3896 |15 10 29|+19 28.1| 0.656|296.0| -37.8|G5 V        |  6.68| 0.68|  22.6|  50.0| 5.17|     |LTT 14523 LFT 1183 ADS 9535                                          |15 12 43.3|+19 17 09
NN 3897 |15 10 30|+19 28.5| 0.666|294.9| -38.2|G7 V        |  7.53| 0.73|  22.6|  50.0| 6.02|     |LTT 14524 LFT 1184   sep 24" 10d                                     |15 12 44.2|+19 17 32
Gl 579.4|15 10 33|-25 07.3| 0.402|259.4|   5.5|G5 V        |  6.45| 0.70|  31.2|  54.0| 5.11|     |                                                                     |15 13 28.7|-25 18 32
NN 3898 |15 10 57|+45 54.6| 0.539|311.0|      |m           | 13.35|     |      |  72.0|12.64|     |                                                                     |15 12 37.8|+45 43 43
Gl 580  |15 11 20|-01 09.5| 1.373|249.0| -69.2|K0 V J      |  7.35| 0.77|  58.9|  58.9| 6.20|     |ADS 9544  V(AB) = 6.60 d(m) = 0.0                                    |15 13 50.6|-01 21 03
Gl 580  |15 11 20|-01 09.5| 1.373|249.0|      |            |  7.35|     |  58.9|  58.9| 6.20|     |sep 0.1" rapidly moving                                              |15 13 50.6|-01 21 03
GJ 1190 |15 11 25|-03 36.9| 0.767|282.7|-110.3|K5 V        |  9.84| 1.13|  47.5|  33.0| 7.43|V736 |U370 Wolf 561                                                        |15 13 59.5|-03 47 54
Gl 580.1|15 13 35|-58 37.0| 0.169|214.6|   9.6|A3 V        |  4.07| 0.09|  51.6|  51.6| 2.60|     |BET Cir                                                              |15 17 31.0|-58 48 06
Gl 580.2|15 14 03|+67 32.2| 0.448|151.8| -48.1|F8 V        |  5.13| 0.53|  48.3|  48.3| 3.55|     |                                                                     |15 14 38.1|+67 20 50
NN 3899 |15 14 42|+03 21.4|      |     |      |DA wk       | 14.02|     |      |  51.0|12.56|W440 |WD1514+033                                                           |15 17 12.9|+03 10 27
Wo 9518 |15 15 47|-18 26.4| 0.567|131.8|      |K5 p        | 10.35| 1.22|  44.5|  44.5| 8.59|     |LTT 6099 LFT 1190                                                    |15 18 39.3|-18 37 36
NN 3900 |15 16 29|-12 34.1| 0.724|253.5|      |M3          | 12.58| 1.52|      |  75.0|12.00|     |LTT 6104 L 839-21 LP 742-61                                          |15 19 11.8|-12 45 08
